58831; 30; -29; -995
58841; 30; -14; -988
58851; 32; -23; -995
58861; 37; -21; -986
58871; 25; -26; -989
58881; 28; -21; -991
58891; 23; -21; -996
58901; 29; -22; -988
58911; 27; -19; -988
58921; 31; -24; -980
58931; 31; -21; -991
58941; 25; -21; -996
58951; 26; -23; -992
58961; 26; -28; -993
58971; 31; -26; -986
58981; 24; -22; -990
58991; 28; -21; -989
59001; 24; -20; -989
59011; 27; -22; -995
59021; 32; -25; -987
59031; 28; -21; -989
59041; 31; -21; -992
59051; 21; -18; -996
59061; 22; -25; -987
59071; 29; -23; -989
59081; 32; -23; -994
59091; 24; -19; -993
59101; 30; -22; -993
59111; 30; -25; -991
59121; 31; -18; -989
59131; 26; -19; -994
59141; 19; -19; -994
59151; 28; -22; -988
59161; 24; -24; -982
59171; 26; -23; -985
59181; 23; -23; -987
59191; 32; -23; -996
59201; 31; -25; -998
59211; 31; -22; -991
59221; 28; -17; -987
59231; 30; -20; -996
59241; 30; -19; -996
59251; 31; -20; -994
59261; 27; -24; -993
59271; 26; -24; -985
59281; 30; -24; -986
59291; 26; -16; -993
59301; 26; -19; -990
59311; 23; -17; -986
59321; 22; -23; -984
59331; 29; -26; -993
59341; 25; -21; -998
59351; 32; -15; -994
59361; 34; -22; -986
59371; 31; -20; -985
59381; 31; -23; -990
59391; 33; -18; -1000
59401; 31; -25; -987
59411; 29; -23; -993
59421; 30; -27; -997
59431; 22; -26; -995
59441; 20; -19; -994
59451; 25; -22; -986
59461; 24; -21; -981
59471; 21; -21; -981
59481; 10; -10; -980
59491; 14; -35; -1006
59501; 27; -15; -991
59511; 19; -25; -982
59521; 19; -15; -973
59531; 24; -18; -978
59541; 30; -25; -990
59551; 39; -19; -985
59561; 43; -23; -983
59571; 48; -11; -989
59581; 49; -18; -995
59591; 49; -15; -993
59601; 45; -22; -989
59611; 43; -23; -979
59621; 41; -28; -993
59631; 43; -19; -998
59641; 42; -20; -995
59651; 42; -17; -980
59661; 43; -18; -969
59671; 54; -25; -982
59681; 63; -20; -991
59691; 58; -18; -980
59701; 59; -13; -982
59711; 64; -22; -986
59721; 75; -23; -983
59731; 77; -20; -1000
59741; 84; -16; -981
59751; 85; -13; -985
59761; 85; -15; -980
59771; 88; -23; -992
59781; 92; -19; -996
59791; 101; -7; -994
59801; 109; -19; -988
59811; 111; -12; -986
59821; 112; -8; -973
59831; 95; 0; -969
59841; 72; -8; -962
59851; 77; -16; -978
59861; 91; -30; -993
59871; 103; -19; -981
59881; 112; -14; -970
59891; 123; -9; -976
59901; 136; -15; -975
59911; 149; -21; -978
59921; 157; -14; -984
59931; 161; -15; -993
59941; 164; -7; -977
59951; 172; -9; -973
59961; 175; -8; -971
59971; 179; -4; -970
59981; 186; -5; -979
59991; 202; -3; -974
60001; 207; -12; -980
60011; 220; -6; -978
60021; 221; -6; -982
60031; 224; -5; -988
60041; 221; -4; -980
60051; 213; -10; -976
60061; 216; -5; -968
60071; 205; 1; -951
